NIMSPContributorID	NIMSPContributorName	CRPOrgID	CRPOrgName	NIMSPTotalDollars	CRPTotalDollars	CombinedTotalDollars	NIMSPIndustryName
1834	NATIONAL EDUCATION ASSOCIATION	D000000064	National Education Assn	53672972.31	2676297	56349269.31	Public Sector Unions
4103	PECHANGA BAND OF LUISENO MISSION INDIANS	D000023641	Pechanga Band of Mission Indians	43360697.36	599754	43960451.36	Tribal Governments
2009	PENN NATIONAL GAMING	D000028281	Penn National Gaming	40457347.12	65100	40522447.12	Gambling & Casinos
1771	MORONGO BAND OF MISSION INDIANS	D000023639	Morongo Band of Mission Indians	38453596.7	600312	39053908.7	Tribal Governments
2351	SERVICE EMPLOYEES INTERNATIONAL UNION	D000000077	Service Employees International Union	32778493.63	2921463	35699956.63	Public Sector Unions
1823	NATIONAL ASSOCIATION OF REALTORS	D000000062	National Assn of Realtors	23712744.06	4878390	28591134.06	Real Estate
13549	LAKES ENTERTAINMENT	D000044959	Lakes Entertainment	25692898.49	2000	25694898.49	Gambling & Casinos
16648	TRIBES FOR FAIR PLAY NO ON 94 95 96 & 97			24754413.1	0	24754413.1	Tribal Governments
0		D000021806	ActBlue	0	23183948	23183948	Liberal Policy Organization
57	AGUA CALIENTE BAND OF CAHUILLA INDIANS	D000023655	Agua Caliente Band of Cahuilla Indians	21650924.93	428276	22079200.93	Tribal Governments
3017	AFSCME	D000000061	American Fedn of St/Cnty/Munic Employees	18083363.55	2883292	20966655.55	Public Sector Unions
652	COMMUNITY FINANCIAL SERVICES ASSOCIATION	D000025062	Community Financial Services Assn	19963260.21	198760	20162020.21	Payday/Title Loans
11128	CLEAN ENERGY FUELS CORP	D000032655	Clean Energy Fuels Corp	18814600	37200	18851800	Oil & Gas
2035	PG&E CORP	D000000290	PG&E Corp	16130015.61	419484	16549499.61	Electric Utilities
885	EDISON INTERNATIONAL	D000000239	Edison International	14520141.8	613419	15133560.8	Electric Utilities
898	INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS	D000000069	Intl Brotherhood of Electrical Workers	10135208.03	4716921	14852129.03	General Trade Unions
10093	ARIZONA COMMUNITY FINANCIAL SERVICES ASSOCIATION			14675023.22	0	14675023.22	Payday/Title Loans
259	AT&T	D000000076	AT&T Inc	9087069.8	5422955	14510024.8	Telecom Services & Equipment
3989	LABORERS INTERNATIONAL UNION OF NORTH AMERICA	D000000074	Laborers Union	11348826.32	2987360	14336186.32	General Trade Unions
4102	PALA BAND OF MISSION INDIANS	D000045080	Pala Band of Mission Indians	13178218.82	2300	13180518.82	Tribal Governments
